filename,Sharp corner,Unlabeled,gap
84_jpg.rf.c1e593647c4d4d36aed7541ba34db629.jpg,1,0,1
164_jpg.rf.28d665656aa65ea761133de9abf46aae.jpg,1,0,1
130_jpg.rf.c7d60857d715592ca062ba6f76d81ae7.jpg,0,0,1
261_jpg.rf.e4566f8de379450a72753d0445039516.jpg,1,0,0
313_jpg.rf.9a36894afd448c358159c4325e6419b7.jpg,1,0,0
200_jpg.rf.e15007341f7866a8f938c9dfaf38bfa6.jpg,0,1,0
112_jpg.rf.98af19d3351e0e82c73b0d9c9ecbf5ec.jpg,0,1,0
161_jpg.rf.75e1cb996afd4407438a8b1acbc1d4ac.jpg,0,0,1
353_jpg.rf.06d457b9bd57fed059ffeb59116b9f00.jpg,1,0,0
360_jpg.rf.1ca25bd812a6f09edcf4c4177f841ad0.jpg,1,0,0
275_jpg.rf.7a87b0e92b66ea18b0be7dbb600128d1.jpg,1,0,0
73_jpg.rf.917a08c40ff17dd005244784d15415f7.jpg,1,0,0
114_jpg.rf.59b970e04f07f347749c0bd2ca80a206.jpg,0,1,0
10_jpg.rf.1fce427cfa7371af4fb9d1b1a46bb6c8.jpg,0,1,0
86_jpg.rf.7711c47b3ae67b4bcd3005a32e7b1de2.jpg,1,0,0
278_jpg.rf.07c09980ddfabae6fc5a8087d5624868.jpg,1,0,0
305_jpg.rf.1be1974813f18c8dffab0964200103f6.jpg,0,0,1
260_jpg.rf.17e839d5ece7e56cf7fc53708ddbcce7.jpg,1,0,0
132_jpg.rf.19e43976cc32426045b55643c986c53e.jpg,1,0,1
109_jpg.rf.fa8f0e7cac33dde5d8f5dfd35ae6c5cb.jpg,1,0,0
75_jpg.rf.9be0e1856bf4bf9f0cc5581f46b51967.jpg,0,0,1
186_jpg.rf.c95916f9659dde39a755a864db112b22.jpg,1,0,0
145_jpg.rf.aa36c6248ac34432cbc36a726e46892b.jpg,0,0,1
91_jpg.rf.4882a0fd972004a5090f4076fdfe081a.jpg,0,1,0
119_jpg.rf.c0f253aed1f67ea9576483af36db3217.jpg,0,0,1
22_jpg.rf.0e34b0caae6e35a41adc0cb4cefef3ba.jpg,1,0,1
238_jpg.rf.d717cef44a54c2a3229a557dc4e6f441.jpg,1,0,0
43_jpg.rf.127d980cc1a10d24b0cf5aa9ff658be8.jpg,0,1,0
125_jpg.rf.5ec8cc7af04aa9ffb3f47477fc73cb4d.jpg,0,1,0
241_jpg.rf.2a4740224788533a014882b4c72b4ebe.jpg,1,0,0
181_jpg.rf.df6be7187fec44296162d90f5178e89e.jpg,0,0,1
184_jpg.rf.fe4f9e28facd19ec2167f6a00c4ce817.jpg,1,0,0
288_jpg.rf.b755ccc70c743c3a464909564f72778c.jpg,0,0,1
11_jpg.rf.d179274bb2cbf54ec48da0ab784dc5ab.jpg,1,0,1
6_jpg.rf.3fb49918d1ea1e5ff6f42fd51e542aa7.jpg,1,0,0
205_jpg.rf.035f89f096b77ea2a92da51e72a1af6f.jpg,0,1,0
176_jpg.rf.7daaff7d3883bb30ce3867854379c749.jpg,0,1,0
237_jpg.rf.cfb9c3f59afc8788794a1de712dd2def.jpg,0,0,1
49_jpg.rf.5945dfbc15d80ad26fb4e0b0464bfebf.jpg,1,0,0
149_jpg.rf.94a07b67099426e06bddf8e4a3bc8c6c.jpg,0,1,0
351_jpg.rf.05c7085b31eb991e2177f181e9e2ae2b.jpg,0,0,1
46_jpg.rf.a56ce25d246dc7abe819a44a2a033ed1.jpg,0,1,0
87_jpg.rf.be22737e9c0bec080f8786df34628fba.jpg,1,0,0
245_jpg.rf.068bbcb24e78bd57a95f6fc24dc6d4c4.jpg,1,0,1
39_jpg.rf.7d49ce8ce10b0dba627d243caa6f6b93.jpg,0,1,0
188_jpg.rf.98fdbf0fdba5040ac1ef5b1ab1440b92.jpg,1,0,1
323_jpg.rf.c3bf58b5ef6434ca82da27f4d2b0a7b3.jpg,1,0,1
14_jpg.rf.6ac36846f69211273c00e0894cba4639.jpg,0,1,0
189_jpg.rf.9affd565188a2814fe5f0f984844ce39.jpg,1,0,0
267_jpg.rf.777f69b9f5c44b614857fede030bcba0.jpg,1,0,1
94_jpg.rf.4a44ebc7b8c4edd7f8ebee09fc99c47c.jpg,0,1,0
53_jpg.rf.71471f4670258b408dadb51743dacf57.jpg,0,1,0
82_jpg.rf.06cf4ca5b29a6f3a03638e5dcc52e8a2.jpg,0,1,0
50_jpg.rf.43fc14c58f726c27c7a338d5b7f0a47c.jpg,0,1,0
328_jpg.rf.bdb51ccfed23c387a2065e381e66c5e9.jpg,0,1,0
185_jpg.rf.83a93744e4102d748f493b6f1ac819db.jpg,1,0,0
165_jpg.rf.b883a26ac4c32c281497529b4ad2f881.jpg,1,0,0
329_jpg.rf.ae22e9baba0fa7a052b423344cf13e49.jpg,0,0,1
35_jpg.rf.b9d6cd31176ba58eaa45af4049fc1e20.jpg,0,1,0
217_jpg.rf.6aa627e399d1716a8471b5534b9355d7.jpg,1,0,0
331_jpg.rf.04ab2b336a1afba9beff16b704f5db9d.jpg,0,0,1
148_jpg.rf.ba39a1ad262206b3e65d2f8e74748e2c.jpg,1,0,0
57_jpg.rf.7c412352bfacdc1b6c721955ed959a7d.jpg,0,1,0
71_jpg.rf.55e986e06cd60b5ff8594efd541d508d.jpg,0,0,1
179_jpg.rf.8b5ec69b87c391357e974c00234f4669.jpg,1,0,0
249_jpg.rf.0809ab96a67cdc89779442c1827d002c.jpg,1,0,0
38_jpg.rf.8d9df0ad8d93ae919ffea0eca1f79627.jpg,1,0,0
178_jpg.rf.04ea9b46aabde481a90787749635258e.jpg,1,0,0
272_jpg.rf.58dfcb3f91e35256c4016f9edc9f2c69.jpg,1,0,0
78_jpg.rf.2e0e627a084a3a5b3a0c50b0c8579028.jpg,1,0,0
34_jpg.rf.4153891345944791f59a81a12ba38882.jpg,0,1,0
66_jpg.rf.c5d439884167534c9554b16b97d865e3.jpg,0,0,1
126_jpg.rf.b4a0c0cd8db0f5804a7373545a39e78c.jpg,0,0,1
8_jpg.rf.b821a0dd397182628334c845497d41fd.jpg,0,1,0
118_jpg.rf.b0958341ecccef7fb09a1c540b17d83e.jpg,0,0,1
33_jpg.rf.3a7d48b17b4167e9f1f3032c1448035c.jpg,1,0,0
350_jpg.rf.7ea1aba1a2befcc432d624084c770ad4.jpg,0,1,0
255_jpg.rf.d9dd3a9976344afbc8023d33a5a666d1.jpg,0,0,1
294_jpg.rf.0e1ffa3f489a98639f1aecc3cd108e2f.jpg,0,1,0
284_jpg.rf.24fc6ed861081953356db99d03cbd28d.jpg,0,0,1
193_jpg.rf.10215e4efaeca9fd32159726f7643bca.jpg,1,0,0
72_jpg.rf.71e23b4a99982454ddcacc786bb10b2e.jpg,0,0,1
175_jpg.rf.d1c93c3d02862ed5dd6595fc66377a68.jpg,0,1,0
171_jpg.rf.11870844dc3c3fef50ebb872bf7ba0a7.jpg,1,0,1
340_jpg.rf.16712a01685a47c8b8eaf5bde95fece6.jpg,0,0,1
242_jpg.rf.52e000ac37994a30af6b2ce2fb0acd59.jpg,1,0,0
301_jpg.rf.9741681aa4ecdf5ba3d9e7c70c4611ea.jpg,0,1,0
327_jpg.rf.e824e809b1102d85407ce804becc7b21.jpg,1,0,1
251_jpg.rf.b69b4d6b32ed9cbea0cf92127172ed9a.jpg,1,0,1
97_jpg.rf.64303f0f2061ef1f684b0bb90103fd69.jpg,0,1,0
1_jpg.rf.524827c68c67a35d48b998242c220ec3.jpg,1,0,0
359_jpg.rf.813606f00d338cd28e2ddc2d39aca2c9.jpg,0,0,1
4_jpg.rf.ddde921b058532a594787d1d4561f4f0.jpg,1,0,0
117_jpg.rf.123c41ef33ce09954f4ef818b4e307c2.jpg,1,0,0
269_jpg.rf.a92ade9dce13f67e0c7d508f7596d7b5.jpg,1,0,1
315_jpg.rf.4f323e827bc488773061fc0d79c16553.jpg,0,0,1
201_jpg.rf.fa5a8f23b349e7a8203e86b732f1d436.jpg,1,0,0
147_jpg.rf.95cd0ddcdc8fab4dfecb336b14601eab.jpg,1,0,0
107_jpg.rf.bedb9090f4690a7e5882feaf2bff6693.jpg,1,0,0
285_jpg.rf.fb0f325a739d1d51eadaf5bd65432acc.jpg,1,0,1
280_jpg.rf.b1cf50d48eb1b98a88e52fcdcc1e4509.jpg,0,1,0
299_jpg.rf.d679dc92685a9bb2e77b7f31e9a47dd8.jpg,0,0,1
96_jpg.rf.41c0bb48b51259f6ebdd5fb09f838d57.jpg,0,0,1
197_jpg.rf.65ab8dd54e88f08efc577dcd73825e4f.jpg,0,1,0
151_jpg.rf.bd530506e32f8cca351d6575190bdff4.jpg,0,1,0
314_jpg.rf.e87d8d3c3b6705c85e4905684e672e8a.jpg,0,0,1
95_jpg.rf.725efe8b002bcd3fc585b5e13cedfd26.jpg,0,1,0
21_jpg.rf.759fb47e043946a414b9038eaebaa531.jpg,0,1,0
76_jpg.rf.8fcd2512fa1a192c55370921a641f55f.jpg,0,1,0
277_jpg.rf.1db556f5c516513c8ecfbcb0002ce0a9.jpg,1,0,0
276_jpg.rf.ec00241f4dcd92e2926d6e1b826d79cd.jpg,1,0,0
104_jpg.rf.fbfb76ecd4f6e707b369d40ed7a30d3b.jpg,0,0,1
320_jpg.rf.c2e3fa63f236fbdf78cc2e45f82a9cbc.jpg,1,0,0
67_jpg.rf.f82c2e9d43f0975576afa8a6152aa929.jpg,0,1,0
295_jpg.rf.15298b2c215b3a9e5b9351e8a1967577.jpg,1,0,0
330_jpg.rf.ff82f04086750e4359f117aabdc4acbe.jpg,0,0,1
137_jpg.rf.2feef018f9075e6bef46974c12fa0320.jpg,0,1,0
208_jpg.rf.2b59a19925a903d3d4bbb5c7b4a11880.jpg,0,1,0
316_jpg.rf.4edcdec0b298b329841d55d492235470.jpg,1,0,1
55_jpg.rf.99d5dbf1289a6497220c06df56b5a42b.jpg,0,0,1
304_jpg.rf.a7150aa4128187d3c0a0ba79d8c0390a.jpg,1,0,0
218_jpg.rf.47eaad81008b9a04858957456b4de6dd.jpg,0,1,0
348_jpg.rf.388bc2e66450a79f91658fda2d7b721a.jpg,0,0,1
23_jpg.rf.04c60af15de639a9a3eeccc16a000598.jpg,0,1,0
174_jpg.rf.9e814126323b2119623482b99655d9f9.jpg,0,0,1
